City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,mariehamn,60.0973,19.9348,1.92,87,100,3.6,AX,1738267177
243,oytal,42.9057,73.2697,-5.23,96,96,1.42,KZ,1738267179
244,polyarnyy,69.1989,33.4478,-0.6,89,100,11.67,RU,1738267180
245,usogorsk,63.4106,48.6872,-0.73,97,100,3.7,RU,1738267181
246,rikaze,29.25,88.8833,-1.03,20,0,2.25,CN,1738267182
247,topes de collantes,21.9139,-80.0189,25.08,36,0,4.46,CU,1738267183
248,callao,-12.0667,-77.15,24.16,69,57,4.63,PE,1738267185
249,quelimane,-17.8786,36.8883,23.39,96,86,1.48,MZ,1738267186
250,az zawiyah,32.0963,35.0398,12.01,62,0,1.54,PS,1738267187
251,touros,-5.1989,-35.4608,28.2,69,24,5.52,BR,1738267188
252,inirida,3.8653,-67.9239,27.55,89,87,0.63,CO,1738267189
253,aykhal,66.0,111.5,-26.8,98,93,3.25,RU,1738267190
254,morehead city,34.7229,-76.726,16.69,51,0,3.6,US,1738267192
255,dalandzadgad,43.5708,104.425,-13.34,71,94,1.58,MN,1738267193
256,alice springs,-23.7,133.8833,20.75,30,0,2.06,AU,1738267194
257,zhuanghe,39.7008,122.9911,-8.18,68,99,2.23,CN,1738267195
258,arkalyk,50.2486,66.9114,-20.3,100,88,0.64,KZ,1738267196
259,sternberk,49.7304,17.2989,7.88,70,54,0.95,CZ,1738267198
260,shurugwi,-19.6702,30.0059,16.41,72,6,1.34,ZW,1738267199
261,sumbawa besar,-8.5,117.4333,24.04,97,100,4.62,ID,1738267200
262,vernon,50.2581,-119.2691,1.36,67,100,1.03,CA,1738267201
263,muli,2.9167,73.5667,27.54,76,99,5.48,MV,1738267202
264,fale old settlement,-9.3852,-171.2468,28.59,73,42,7.72,TK,1738267203
265,talnakh,69.4865,88.3972,-21.18,99,100,3.88,RU,1738267205
266,east london,-33.0153,27.9116,24.51,91,52,2.11,ZA,1738267206
267,cidreira,-30.1811,-50.2056,24.5,72,25,5.87,BR,1738267207
268,salalah,17.0151,54.0924,22.72,32,26,3.89,OM,1738267208
269,kudahuvadhoo,2.6708,72.8944,27.5,77,100,4.4,MV,1738267209
270,dongola,19.1667,30.4833,18.37,25,33,5.68,SD,1738267210
271,jawa,31.8525,35.9393,11.17,40,0,2.57,JO,1738267212
272,kodiak,57.79,-152.4072,-7.94,64,10,5.95,US,1738267213
273,murzuq,25.9155,13.9184,14.6,29,0,4.63,LY,1738267214
274,prado,-17.3411,-39.2208,27.0,74,0,5.2,BR,1738267215
275,tsiombe,-25.3,45.4833,25.04,88,20,4.01,MG,1738267216
276,sitka,57.0531,-135.33,-1.06,80,100,4.12,US,1738267217
277,codrington,-38.2667,141.9667,13.07,83,98,0.48,AU,1738267219
278,marsassoum,12.8275,-15.9806,30.14,10,31,3.54,SN,1738267220
279,trn,44.8597,17.2364,5.84,93,0,2.06,BA,1738267221
280,phimai,15.2232,102.4947,18.65,59,4,1.26,TH,1738267222
281,aswan,24.0934,32.907,21.61,28,0,3.6,EG,1738267223
282,atafu village,-8.5421,-172.5159,28.16,75,97,6.78,TK,1738267225
283,rongelap,11.1635,166.8941,26.59,71,57,7.78,MH,1738267226
284,benguela,-12.5763,13.4055,26.17,73,100,1.32,AO,1738267227
285,portland,45.5234,-122.6762,2.96,90,100,2.57,US,1738266941
286,jijiang,29.2906,106.2542,9.22,92,100,2.03,CN,1738267229
287,chiang kham,19.5233,100.3,16.97,67,13,1.46,TH,1738267230
288,new norfolk,-42.7826,147.0587,12.06,94,59,1.19,AU,1738267232
289,shakargarh,32.2623,75.1668,11.94,36,5,2.59,PK,1738267233
290,cockburn town,21.4612,-71.1419,24.99,79,20,9.43,TC,1738267234
291,sechura,-5.5569,-80.8222,28.4,55,24,6.97,PE,1738267235
292,nouadhibou,20.931,-17.0347,22.99,53,0,9.26,MR,1738267236
293,kievka,50.2619,71.5514,-20.14,100,99,2.09,KZ,1738267237
294,hastings,50.8552,0.5729,4.32,80,6,3.71,GB,1738267239
295,queenstown,-31.8976,26.8753,23.09,75,64,1.25,ZA,1738267240
296,kimbe,-5.5502,150.1429,24.97,87,91,0.94,PG,1738267241
297,saint-pierre,-21.3393,55.4781,27.82,74,75,1.03,RE,1738267242
298,taoudenni,22.6783,-3.9836,21.79,13,0,3.71,ML,1738267243
299,borzya,50.3833,116.5167,-33.89,100,89,0.97,RU,1738267244
300,revda,56.801,59.9303,-16.08,100,86,1.18,RU,1738267246
301,ouesso,1.6136,16.0517,24.87,22,13,1.13,CG,1738267247
302,cadale,2.7603,46.3222,24.95,86,6,7.17,SO,1738267248
303,lawrenceburg,38.0373,-84.8966,10.94,56,100,3.6,US,1738267249
304,waingapu,-9.6567,120.2641,25.36,87,100,4.98,ID,1738267250
305,nemuro,43.3236,145.575,-0.81,76,100,10.0,JP,1738267251
306,hadibu,12.65,54.0333,22.83,77,12,4.98,YE,1738267253
307,el bauga,18.262,33.9081,19.85,26,47,5.33,SD,1738267254
308,mantua,45.1667,10.7833,6.11,96,85,1.34,IT,1738267255
309,dudinka,69.4058,86.1778,-23.5,97,100,6.73,RU,1738267256
310,kone,-21.0595,164.8658,25.94,80,82,1.84,NC,1738267257
311,flying fish cove,-10.4217,105.6791,24.82,100,100,6.69,CX,1738267259
312,kosh-agach,50.0,88.6667,-20.74,94,100,1.29,RU,1738267260
313,ola,59.5833,151.2833,-23.51,81,1,4.91,RU,1738267261
314,greymouth,-42.4667,171.2,14.71,78,92,1.68,NZ,1738267250
315,sao joao da barra,-21.6403,-41.0511,28.05,82,62,8.56,BR,1738267263
316,chelakara,10.7,76.35,22.82,80,100,0.54,IN,1738267264
317,aitape,-3.1374,142.3475,25.33,89,100,1.19,PG,1738267266
318,karachi,24.9056,67.0822,19.9,42,22,2.06,PK,1738267107
319,luderitz,-26.6481,15.1594,17.76,83,13,5.41,NA,1738267268
320,santana,-0.0583,-51.1817,27.1,89,100,3.6,BR,1738267269
321,cabo san lucas,22.8909,-109.9124,23.75,24,0,1.79,MX,1738267028
322,raja,8.4596,25.678,22.04,21,1,1.9,SS,1738267271
323,port augusta,-32.5,137.7667,17.39,57,0,3.28,AU,1738267273
324,zhaozhou,45.6833,125.3167,-22.83,97,32,1.57,CN,1738267274
325,palmer,42.1584,-72.3287,-1.36,35,20,7.2,US,1738267275
326,uttar char fasson,22.2332,90.7132,20.83,92,14,3.72,BD,1738267276
327,mil'kovo,55.6078,37.7956,6.3,70,86,4.12,RU,1738267277
328,kapit,2.0167,112.9333,21.87,100,100,0.29,MY,1738267279
329,amga,60.8953,131.9608,-41.0,100,99,0.53,RU,1738267280
330,soria,41.6667,-2.6667,2.29,72,33,3.42,ES,1738267281
331,rosa zarate,0.3333,-79.4667,27.56,83,70,2.83,EC,1738267282
332,uiju,40.1994,124.5317,-16.81,90,16,2.5,KP,1738267283
333,pangody,65.85,74.4859,-25.74,99,22,3.36,RU,1738267284
334,marmande,44.5,0.1667,8.62,93,93,5.18,FR,1738267286
335,zintan,31.9223,12.252,11.04,25,12,3.86,LY,1738267287
336,klyuchi,52.2667,79.1667,-11.31,95,100,4.76,RU,1738267288
337,howrah,22.5892,88.3103,23.0,88,20,4.12,IN,1738267290
338,dabizhuang,39.1931,117.2558,-4.0,68,100,2.0,CN,1738267291
339,dolores,-36.3132,-57.6792,28.1,39,0,6.76,AR,1738267293
340,vanino,49.0869,140.2543,-10.88,79,96,3.44,RU,1738267294
341,praia da vitoria,38.7333,-27.0667,17.14,77,40,5.85,PT,1738267295
342,nova sintra,14.8667,-24.7167,23.54,74,0,10.8,CV,1738267296
343,yuzhno-kurilsk,44.0306,145.8556,-1.12,96,100,11.02,RU,1738267297
344,san juan de los morros,9.9115,-67.3538,31.57,43,85,3.42,VE,1738267298
345,vrangel',42.7297,133.0839,-10.52,73,6,5.17,RU,1738267300
346,togur,58.3631,82.8265,-25.4,99,17,2.22,RU,1738267301
347,bodaybo,57.8506,114.1933,-27.9,97,100,0.23,RU,1738267302
348,kurye,35.2094,127.4644,-3.21,89,49,1.06,KR,1738267303
349,mutsu,41.2894,141.2169,-1.29,87,76,7.0,JP,1738267304
350,zhezqazghan,47.7833,67.7667,-17.89,99,85,1.33,KZ,1738267306
351,changping,40.2186,116.2197,-5.38,72,100,0.22,CN,1738267307
352,muncar,-8.4333,114.3333,26.57,100,100,2.02,ID,1738267308
353,turpan,42.9333,89.1667,-2.99,48,100,0.4,CN,1738267309
354,merizo village,13.2658,144.6691,26.66,84,100,10.07,GU,1738267310
355,saint-philippe,-21.3585,55.7679,27.62,82,89,3.65,RE,1738267311
356,saint-francois,46.4154,3.9054,7.03,93,75,2.57,FR,1738267313
